estado;inicio;varinicio;varfim;";";id;,;int;real;lit;leia;escreva;literal;num;rcb;opm;se;(;);entao;opr;fimse;facaAte;fimFaca;fim;$
0;S2;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;A0
2;;S4;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;S15;;S10;
4;;;S19;;S21;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;R1
6;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;S15;;S10;
7;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;S15;;S10;
8;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;S15;;S10;
9;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;S15;;S10;
10;;;;;;;;;;;;;;;;;;;;;;;;;R37
11;;;;;S26;;;;;;;;;;;;;;;;;;;;
12;;;;;S30;;;;;;;S28;S29;;;;;;;;;;;;
13;;;;;;;;;;;;;;S31;;;;;;;;;;;
14;;;;;S13;;;;;S11;S12;;;;;S16;;;;;S36;;;;
15;;;;;;;;;;;;;;;;;S37;;;;;;;;
16;;;;;;;;;;;;;;;;;S38;;;;;;;;
17;;;;;R2;;;;;R2;R2;;;;;R2;;;;;;R2;;R2;
18;;;S19;;S21;;;;;;;;;;;;;;;;;;;;
19;;;;S40;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;S42;S43;S44;;;;;;;;;;;;;;;;
21;;;;;;S45;R7;R7;R7;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;R11
23;;;;;;;;;;;;;;;;;;;;;;;;;R17
24;;;;;;;;;;;;;;;;;;;;;;;;;R23
25;;;;;;;;;;;;;;;;;;;;;;;;;R31
26;;;;S46;;;;;;;;;;;;;;;;;;;;;
27;;;;S47;;;;;;;;;;;;;;;;;;;;;
28;;;;R14;;;;;;;;;;;;;;;;;;;;;
29;;;;R15;;;;;;;;;;;;;;;;;;;;;
30;;;;R16;;;;;;;;;;;;;;;;;;;;;
31;;;;;S50;;;;;;;;S51;;;;;;;;;;;;
32;;;;;R24;;;;;R24;R24;;;;;R24;;;;;R24;R24;R24;R24;
33;;;;;S13;;;;;S11;S12;;;;;S16;;;;;S36;;;;
34;;;;;S13;;;;;S11;S12;;;;;S16;;;;;S36;;;;
35;;;;;S13;;;;;S11;S12;;;;;S16;;;;;S36;;;;
36;;;;;R30;;;;;R30;R30;;;;;R30;;;;;R30;R30;R30;R30;
37;;;;;S50;;;;;;;;S51;;;;;;;;;;;;
38;;;;;S50;;;;;;;;S51;;;;;;;;;;;;
39;;;;;R3;;;;;R3;R3;;;;;R3;;;;;;R3;;R3;
40;;;;;R4;;;;;R4;R4;;;;;R4;;;;;;R4;;R4;
41;;;;S58;;;;;;;;;;;;;;;;;;;;;
42;;;;R8;;;;;;;;;;;;;;;;;;;;;
43;;;;R9;;;;;;;;;;;;;;;;;;;;;
44;;;;R10;;;;;;;;;;;;;;;;;;;;;
45;;;;;S21;;;;;;;;;;;;;;;;;;;;
46;;;;;R12;;;;;R12;R12;;;;;R12;;;;;R12;R12;R12;R12;
\;;;;;R13;;;;;R13;R13;;;;;R13;;;;;R13;R13;R13;R13;
48;;;;S60;;;;;;;;;;;;;;;;;;;;;
49;;;;R20;;;;;;;;;;;S61;;;;;;;;;;
50;;;;R21;;;;;;;;;;;R21;;;R21;;R21;;;;;
51;;;;R22;;;;;;;;;;;R22;;;R22;;R22;;;;;
52;;;;;R27;;;;;R27;R27;;;;;R27;;;;;R27;R27;R27;R27;
53;;;;;R28;;;;;R28;R28;;;;;R28;;;;;R28;R28;R28;R28;
54;;;;;R29;;;;;R29;R29;;;;;R29;;;;;R29;R29;R29;R29;
55;;;;;;;;;;;;;;;;;;S62;;;;;;;
56;;;;;;;;;;;;;;;;;;;;S63;;;;;
57;;;;;;;;;;;;;;;;;;S64;;;;;;;
58;;;R5;;R5;;;;;;;;;;;;;;;;;;;;
59;;;;;;;R6;R6;R6;;;;;;;;;;;;;;;;
60;;;;;R18;;;;;R18;R18;;;;;R18;;;;;R18;R18;R18;R18;
61;;;;;S50;;;;;;;;S51;;;;;;;;;;;;
62;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;;S70;;
63;;;;;S50;;;;;;;;S51;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;S72;;;;;;
65;;;;R19;;;;;;;;;;;;;;;;;;;;;
66;;;;;R32;;;;;R32;R32;;;;;R32;;;;;;R32;;R32;
67;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;;S70;;
68;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;;S70;;
69;;;;;S13;;;;;S11;S12;;;;;S16;;;;;;;S70;;
70;;;;;R36;;;;;R36;R36;;;;;R36;;;;;;R36;;R36;
71;;;;;;;;;;;;;;;;;;R26;;;;;;;
72;;;;;R25;;;;;R25;R25;;;;;R25;;;;;R25;;;;
73;;;;;R33;;;;;R33;R33;;;;;R33;;;;;;R33;;R33;
74;;;;;R34;;;;;R34;R34;;;;;R34;;;;;;R34;;R34;
75;;;;;R35;;;;;R35;R35;;;;;R35;;;;;;R35;;R35;
